,company_name,job_title,job_senority,degree,job_desc,city,state,avg_salary,salary_lower,salary_upper,size,industry,sector,job_function,revenue,num_listings
19,Hinge Health,Business Analyst ,,,"one in two people experience debilitating back, neck, shoulder, or joint pain — but traditional treatments have failed to meet their needs. physical therapy can be expensive and hard to access; appointments often involve long commutes and missed work. making matters worse, unresolved pain can trigger the overuse of opioids and surgeries.

join us in reimagining healthcare from the ground up. we’re making high-quality care accessible by pairing wearable sensors and computer vision with a world-class clinical team. hinge health puts a digital clinic in every member's pocket. now millions of people can access personalized digital care from a physical therapist, guidance on behavior change from a health coach, and expert consultations with an orthopedic surgeon. with a single app and wearable technology like our enso device, we’re helping to reduce pain, surgeries, and opioid use.

work from anywhere
hinge health employees have the flexibility to work remotely in hubs across the us, canada, and latin america or work from our offices in san francisco, portland, and montreal.",,FL,67619.0,54.0,84.0,1001 - 5000 ,Software Development,Information Technology,Business,,1045
20,Aldridge Pite LLP,Foreclosure Processor -  Work from Home!,,,"aldridge pite, llp is a multi-state law firm that focuses heavily on the utilization of technology to create work flow synergies with its clients and business partners. aldridge pite is a full-service provider of legal services to depository and non-depository financial institutions including banks, credit unions, mortgage servicing concerns, institutional investors, private firms, and other commercial clients. aldridge pite is dedicated to providing best-in-class representation across all of its practice areas through its unwavering subscription to three fundamental tenets: partnership, integrity, and innovation.
purpose
the foreclosure processor is responsible for data entry, accurately drafting documents and performing quality control measures. knowledge of foreclosure process is preferred but not required. the ideal candidate will be a self-starter who thrives in a high volume work environment and will have the ability to adapt to change easily.
specific duties, activities and responsibilities",Boise,ID,43235.0,37.0,51.0,1001 - 5000 ,Legal,Legal,Business,$25 to $100 million (USD),1045
22,Barnes Group Inc.,Sr. Buyer ,,,"force and motion control seeks a talented self-driven, high energy individual with strong analytical and communication skills. this will be a challenging and rewarding opportunity for the right candidate who will contribute as a member of the purchasing team. the sr. buyer will take leadership of cost saving projects, supplier negotiations and implementation of sourcing strategies. in this role, the candidate will be expected to provide leadership within department, supply base, experience with global sourcing, and the supply base. this role will support the force and motion control-industrial (fmc) organization with the mission of being a world class engineered components solution provider. this position will be focused on associated spring raymond (asr) and industrial gas springs (igs) brands.
core responsibilities:
acts as a team leader, providing guidance and training to personnel within the supply chain department, filling in to take action items to assist meeting metrics.

preferred
preferred
preferred
preferred
preferred
preferred",Maumee,OH,69675.0,58.0,83.0,1001 - 5000 ,Machinery Manufacturing,Manufacturing,Business,$500 million to $1 billion (USD),1045
24,nan,Transportation Operations Analyst I ,,,"our zulily corporate headquarters is in seattle, wa, and this position is available for remote work in the following states: wa, oh, nv, pa, tx, nc, ga, nj and fl.
the opportunity
our transportation analysts partner with the senior leadership of the transportation division to drive growth and profitability of that business. in this role, you’ll have the opportunity to look at historical data and analysis to provide key insights and guidance to business to drive impactful change.

who we are
the transportation analytics team is primed to provide data and analytics to identify and react to current and future business trends and opportunities. this role will work cross-functionally with other departments across the organization, including vendor operations, finance, fulfillment, and tech to help them make data-driven decisions and changes within the business.

your impact",Seattle,WA,69100.0,56.0,86.0,1001 - 5000 ,Other Retail Stores,Retail & Wholesale,Business,$1 to $5 billion (USD),1045
25,Holland America Line,"Procurement Specialist - Food, Beverage, Hotel ",,,"job description

princess cruises, holland america line, seabourn and p&o cruises australia, united as holland america group, offering world-renown vacations at sea to travelers around the globe, are building a dynamic, unified organization to serve its highly experienced teams in both our corporate offices and on board our ships.
we’re looking for an amazing procurement specialist to fill this role, which is based in our santa clarita office. you’ll be responsible partnering and supporting cross-functional stakeholder teams and works with vendors and expediting teams to ensure all items are delivered and that all purchase orders have correct pricing and conversions. in addition, this position will manage and support sourcing efforts for defined fbh categories & critical projects. this position will monitor supplier's performance through kpis, manage their relationship and systematically communicate expectations and performance, resolve escalated supplier issues.",Santa Clarita,CA,48467.0,38.0,61.0,1001 - 5000 ,Travel Agencies,Hotels & Travel Accommodation,Business,$100 to $500 million (USD),1045
27,CorVel Corporation,Proposal Specialist - ,,,"our ideal team member is a self-motivated individual looking to grow with the company. the proposal manager will join a team of like-minded individuals to manage requests for proposals (rfps) from start to finish. responsibilities include meeting proposal deadlines, establishing rfp priorities and target dates, information gathering, proposal writing, and collaborating with project managers. in addition, this position will facilitate strategy meetings for final proposal submission and creation of subsequent marketing materials for finalist presentations. team members work in both individual and group settings – self-starters and collaborators are encouraged to apply. strong communication skills are the key to be an integral part of our team and deliver quality results while successfully managing business proposal workflows and other marketing projects.
this is a remote role.

essential functions & responsibilities:",Irvine,CA,66138.0,55.0,79.0,1001 - 5000 ,Insurance Carriers,Insurance,Business,$500 million to $1 billion (USD),1045
30,GovCIO,Sr. Subcontracts Specialist ,,,"govcio is a team of transformers-people who are passionate about transforming government i.t. we believe in making a difference by developing digital strategies and delivering the technology-related innovation that improves governmental operations each day.

but we can't do it alone. we welcome and nurture an inclusive and diversified work culture. because different backgrounds, experiences, abilities, and perspectives make us better decision-makers, problem solvers, and creators. we're changing the face of i.t. - from our diverse staff to the end-products we develop. and we're excited to expand our team. are you ready to be a transformer?

job overview",Fairfax,VA,86230.0,70.0,106.0,1001 - 5000 ,Information Technology,Unknown / Non-Applicable,Business,,1045
31,GovCIO,Sr. Procurement Administrator Lead ,,,"govcio is a team of transformers-people who are passionate about transforming government i.t. we believe in making a difference by developing digital strategies and delivering the technology-related innovation that improves governmental operations each day.

but we can't do it alone. we welcome and nurture an inclusive and diversified work culture. because different backgrounds, experiences, abilities, and perspectives make us better decision-makers, problem solvers, and creators. we're changing the face of i.t. - from our diverse staff to the end-products we develop. and we're excited to expand our team. are you ready to be a transformer?

job overview",Fairfax,VA,69397.0,57.0,85.0,1001 - 5000 ,Information Technology,Unknown / Non-Applicable,Business,,1045
33,Pace Analytical Services LLC,Purchasing Manager -  / Hybrid,,,"the pace® mn-corporate purchasing team based in minneapolis, mn is seeking a motivated individual to join their team, as a purchasing manager. a successful candidate will be responsible for providing professional administration of purchases including vendor management, and support functions. if you are looking to start your rewarding career as a steward of our environment and public health, please apply today!

working together to protect our environment and improve our health. pace® delivers the highest standard of testing and scientific services in the market. we offer the most advanced solutions in the industry, backed by truly transparent data, a highly trained team, and the service and support that comes from four decades of experience.

job type: full-time

responsibilities:",Minneapolis,MN,58256.0,48.0,70.0,1001 - 5000 ,Research & Development,Management & Consulting,Business,$100 to $500 million (USD),1045
34,Holland America Line Inc,"Procurement Specialist - Food, Beverage, Hotel ",,,"princess cruises, holland america line, seabourn and p&o cruises australia, united as holland america group, offering world-renown vacations at sea to travelers around the globe, are building a dynamic, unified organization to serve its highly experienced teams in both our corporate offices and on board our ships.
we’re looking for an amazing procurement specialist to fill this role, which is based in our santa clarita office. you’ll be responsible partnering and supporting cross-functional stakeholder teams and works with vendors and expediting teams to ensure all items are delivered and that all purchase orders have correct pricing and conversions. in addition, this position will manage and support sourcing efforts for defined fbh categories & critical projects. this position will monitor supplier's performance through kpis, manage their relationship and systematically communicate expectations and performance, resolve escalated supplier issues .
here’s a summary of what holland america group is looking for in its procurement specialist - food, beverage, hotel . is this you?",Santa Clarita,CA,48467.0,38.0,61.0,1001 - 5000 ,Travel Agencies,Hotels & Travel Accommodation,Business,$100 to $500 million (USD),1045
35,Aldridge Pite LLP,Foreclosure Processor -  Work from Home!,,,"aldridge pite, llp is a multi-state law firm that focuses heavily on the utilization of technology to create work flow synergies with its clients and business partners. aldridge pite is a full-service provider of legal services to depository and non-depository financial institutions including banks, credit unions, mortgage servicing concerns, institutional investors, private firms, and other commercial clients. aldridge pite is dedicated to providing best-in-class representation across all of its practice areas through its unwavering subscription to three fundamental tenets: partnership, integrity, and innovation.
purpose
the foreclosure processor is responsible for data entry, accurately drafting documents and performing quality control measures. knowledge of foreclosure process is preferred but not required. the ideal candidate will be a self-starter who thrives in a high volume work environment and will have the ability to adapt to change easily.
specific duties, activities and responsibilities",Portland,OR,44637.0,38.0,52.0,1001 - 5000 ,Legal,Legal,Business,$25 to $100 million (USD),1045
40,Battelle,Contracts Manager ,,,"battelle delivers when others can’t. we conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

we recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
job summary
battelle is seeking a contract manager. the position is located in columbus, oh (open to remote).",Columbus,OH,82704.0,69.0,99.0,1001 - 5000 ,Research & Development,Management & Consulting,Business,$5 to $10 billion (USD),1045
41,Warner Music Group,"Coordinator, Digital Accounts",,,"wmg's top priority is the safety and wellbeing of its team members, artists and songwriters across the globe. in response to covid-19, wmg is fully committed to helping its people balance their home and life commitments with flexible working options, virtual wellness sessions, and more. wmg strives to maintain a covid-free workplace. to that end, being fully vaccinated against covid-19 is a condition of employment for all us new employees, prior to the commencement of employment. if you are hired, you will be required to provide proof of your vaccination as part of your new employee onboarding process, subject to our legal obligation to make reasonable accommodations in certain limited circumstances.
job description:
at warner music group, we’re a global collective of music makers and music lovers, tech innovators and inspired entrepreneurs, game-changing creatives and passionate team members. here, we know that each talent makes our collective bolder and brighter. we are guided by four core principles that underpin everything we do across all our diverse businesses:
music is everything: music is our passion, and we can never get enough. tastes, trends, and tech will change, but great artists and songwriters will always be our driving force.





$15.00 - $22.475385",New York,NY,,,,1001 - 5000 ,Broadcast Media,Media & Communication,Business,$1 to $5 billion (USD),1045
45,Arcfield,Subcontracts Administrator,,,"arcfield overview: arcfield is a leading provider of full lifecycle, mission-focused systems engineering and integration capabilities to the u.s. government and its allies. the company has more than 60 years of proven experience providing advanced engineering and analysis, it and c5isr capabilities to support our nation’s most critical national security missions. headquartered in chantilly, va and with 16 offices around the world, arcfield employs approximately 1,200 engineers, analysts, it specialists, and other professionals who put our customers’ missions first, helping them solve their most complex challenges through innovations in modeling, simulation and analysis, digital transformation and c5isr. visit arcfield.com for more details. responsibilities:
arcfield is seeking an experienced subcontracts administrator to join the finance team.

primary function
the subcontract administrator will oversee the subcontract management module, which includes work assignments, rate management and timesheet processing for our large subcontractor workforce. work assignments contain the settings and business rules that define the items and subcontractor resources that can charge against the subcontractor agreement purchase orders.


qualifications:
for colorado residents: colorado salary minimum: $66,200 colorado salary maximum: $160,700 the estimate displayed represents the typical salary range for this position, and is just one component of peraton's total compensation package for employees. other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. in addition, peraton provides a variety of benefits to employees.",Chantilly,VA,160700.0,161.0,,1001 - 5000 ,Aerospace & Defense,Aerospace & Defense,Business,$500 million to $1 billion (USD),1045
47,"McWane, Inc.",Buyer Planner -  Position,,,"overview:
this is a remote position that is responsible for effectively managing the sourcing, planning, and inventory of cylinders and aftermarket components from 3rd party suppliers and international operations.
responsibilities:
oversees and directs the demand planning, procurement, and supply chain for cylinders and aftermarket components (“products”) from 3rd party suppliers and international operations.

manages all related sourcing activities and supplier relationships for these products.

responsible for creating and maintaining purchase orders to support demand and maintain appropriate inventory levels. responsible for all supply chain transactional activity associated with these relationships including management of inventory, purchase orders, and logistics.









qualifications:",Franklin,TN,67221.0,56.0,81.0,1001 - 5000 ,Metal & Mineral Manufacturing,Manufacturing,Business,$1 to $5 billion (USD),1045
48,Medical Mutual of Ohio,Provider Contract Support Specialist ,,,"provider contract support specialist (remote)
- (2200672)

the provider contract support specialist position allows you the flexibility to work at home as long as you reside within a 50-mile radius of the cincinnati, oh medical mutual office.
founded in 1934, medical mutual is the oldest and one of the largest health insurance companies based in ohio. we provide peace of mind to more than 1.6 million ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. we offer fully insured and self-funded group coverage, including stop loss, as well as medicare advantage, medicare supplement and individual plans.",Cincinnati,OH,42341.0,36.0,50.0,1001 - 5000 ,Insurance Carriers,Insurance,Business,$1 to $5 billion (USD),1045
49,AMResorts,Vendor Contract Coordinator- REMOTE,,,"work to turn vacation dreams into life-long memories by becoming a part of the alg!. we strive to be the first choice in vacation travel, enriching lives and uniting the world.
grow your career as a vendor contract coordinator within alg vacations, one of our 14 industry-leading brands. in this role, you will be responsible for securing and analyzing all our supplier contracts. the specialist works closely with the hotel suppliers to ensure information is complete and verify accuracy. they determine and communicate the optimal implementation strategy.
a successful vendor contract coordinator will:
analyze contract as compared to previous contract terms and determine details that should be negotiated with the supplier
translate contract and rate promotions into a consistent communication format with all necessary information for implementation team for both locally and remote sourced hotels",Bethlehem,PA,44337.0,38.0,52.0,1001 - 5000 ,Hotels & Travel Accommodation,Less than $1 million (USD),Business,,1045
50,Mass General Brigham(PHS),"Grant Administrator 2, ",,,"grant administrator 2, remote
- (3213506)

the integrated grant administrator ii (ga ii) is an active member of the partners’ central research management office, and is a primary point of contact for principal investigators (pis). the ga ii is committed to identifying and adhering to best practices in grants and contracts administration, while upholding the highest standards of integrity and fiduciary responsibility. the ga ii will proactively address the demands of research grant administration by providing exceptional customer service to the research community and collaborators in their pioneering efforts in science and medicine.

this position has dual reporting to partners research management and research departments. in addition to specific departmental responsibilities, the position will assume responsibilities of the research management office based on specific experience and training. the purpose of this dual reporting structure is to streamline the grants processes for investigators and provide a more efficient model for administrative support for research, while ensuring compliance with institutional and sponsor policies and regulations",Boston,MA,57706.0,48.0,70.0,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Business,$10+ billion (USD),1045
52,American Homes 4 Rent,Business Intelligence Reporting Analyst II - ,,,"american homes 4 rent
as one of the country’s fastest-growing property management companies of single-family rental homes, american homes 4 rent has an exhilarating and fluid start-up culture and permanency of a well-founded corporation, rich with diversity. as pioneers in the industry, solidified by our place on wall street, american homes 4 rent (nyse: amh) is currently looking for qualified candidates. with a culture of unprecedented growth, quality, and innovative collaboration, we are seeking personalities to complement our attributes.
the business intelligence reporting analyst (bira) is responsible for the development and execution of architectures, policies, practices, and procedures in order to manage the information lifecycle needs of an organization in an effective manner and examining organization's data with the purpose of drawing conclusions about that information. activities include analyzing and interpreting collected data; spotting trends; writing reports and recommendations for internal or external clients; data modeling and creating data architectures; developing and enhancing the data warehouse; back-end transaction/data processing; and market research professional services. the business intelligence reporting analyst works with business stakeholders to identify reporting requirements necessary to improve visibility into their performance and areas of improvement. the business intelligence reporting analyst will interact regularly with internal business customers to capture and understand reporting and data service requests, they will help define and clarify requirements, propose, define, and develop appropriate solutions, and provide feedback to the reporting team. they will perform quality review of developed solutions and ensure proper user acceptance. this essential position provides the necessary feedback to grow our business and gain efficiencies.",Las Vegas,NV,111873.0,92.0,132.0,1001 - 5000 ,Real Estate,Real Estate,Business,$500 million to $1 billion (USD),1045
53,Hinge Health,Business Analyst,,,"one in two people experience debilitating back, neck, shoulder, or joint pain — but traditional treatments have failed to meet their needs. physical therapy can be expensive and hard to access; appointments often involve long commutes and missed work. making matters worse, unresolved pain can trigger the overuse of opioids and surgeries.

join us in reimagining healthcare from the ground up. we’re making high-quality care accessible by pairing wearable sensors and computer vision with a world-class clinical team. hinge health puts a digital clinic in every member's pocket. now millions of people can access personalized digital care from a physical therapist, guidance on behavior change from a health coach, and expert consultations with an orthopedic surgeon. with a single app and wearable technology like our enso device, we’re helping to reduce pain, surgeries, and opioid use.

we’re looking for an individual, who is eager to learn, to join us towards building out our data pipeline - this is a ground floor opportunity where you can learn and develop into a project management type role. this person will be a leader to our external vendors, communicating goals and tasks planned with the help of our research and development team to external annotation partners.",,FL,88150.0,63.0,114.0,1001 - 5000 ,Software Development,Information Technology,Business,,1045
55,Barnes Group Inc.,Purchasing Analyst ,,,"barnes industrial, force and motion control (fmc) seeks a talented self-driven and highly energetic candidate to serve as purchasing analyst. the purchasing analyst is responsible for analyzing data in the erp system and placing purchase orders to the best cost and lead time option supplier. the analyst is responsible for ensuring the correct inventory levels are maintained at each global location to support high customer on time delivery, while at the same time ensuring inventory values are within the targets for their commodities.
core responsibilities:
manage the inventory position for selected commodities and develop relationships with assigned suppliers.
analyze and act on purchase recommendations generated by the erp systems. this includes generating purchase orders, communicating po’s to suppliers, receiving acknowledgements, and performing po maintenance as needed.
preferred
preferred
preferred
preferred
preferred",Maumee,OH,60780.0,51.0,73.0,1001 - 5000 ,Machinery Manufacturing,Manufacturing,Business,$500 million to $1 billion (USD),1045
57,Emergent Holdings,Data Operations Analyst ,,,"summary:
the analyst is responsible for learning, understanding and executing the delivery of work for our internal and external customers.
responsibilities/tasks:
executing and monitoring production data and data exchange related processes timely and conscientiously.
effectively supports projects/teams in order to produce desired results.
responsible for communication of results and/or issues per team standards.
assists with implementing standard policies and procedures for providing routine service.",Southfield,MI,60926.0,50.0,74.0,1001 - 5000 ,Insurance,$100 to $500 million (USD),Business,,1045
58,illumifin,Insurance Client Advocate I,,,"as an inbound customer service representative, you will be providing service to life, health, and annuity policy owners, financial representatives in a contact center setting. you will have the opportunity to be part of a supportive team to provide best in class customer service.
this will be a fully remote opportunity including the initial weeks of paid training. we are seeking highly motivated self-directed individuals who have previous work from home experience.
this is a full-time position working monday – friday.
inbound customer service responsibilities
1. answers and responds to telephone and/or electronic inquiries regarding long term care benefit administration, policy owner eligibility and claims processing.
2. documents all calls and related correspondence using the illumifin insurance system or other proprietary tools and office processes; document follow-up calls, voicemails and any other pending service requests.
3. provides prompt, courteous and excellent service to internal and external customers at all times. this includes an obligation to actively cooperate and interact with other departments to advance the overall interest of the company.
4. identifies service opportunities and suggests innovative ideas for improvement.
5. handles multiple products and services intermittently while meeting established service requirements and standards.
6. acts with a sense of urgency and takes ownership regarding aspects of call management and escalation of issues.
7. ensures issues are referred to appropriate areas; leveraging internal relationships to ensure efficient issue resolution; involves leadership when necessary.
8. other duties and projects as assigned.",,AZ,,,,1001 - 5000 ,,,Business,,1045
60,Magellan Health,Lead Rebate Business Analyst ,,,"serves as liaison between departmental team business owners, end users, it, claims and clinical departments. responds to ad hoc requests for support, reports and analysis. supports departmental management team by providing trending and performance data. supports special projects. maintains and monitors reporting queues and requests (if appropriate), and internal share point sites. may participate in full life cycle development by performing requirements analysis, process development and design, and testing using development methodology. collaborates with functional teams, as well as with it business analysts and programmers to develop detailed design specifications according to standards.
develops and documents workflow, systems requirements, system impact analysis, systems design, process analysis and testing (including reasonableness checks) using software development methodology to provide efficient, cost-effective solutions as directed.
identifies impact of solutions on existing and future systems.
may perform operational activities.
7+ years of directly related experience.
related professional experience in the managed care, healthcare, or insurance industries.
analytical/problem solving skills, excellent verbal and written communication skills, strong pc background, efficient in using standard software.
knowledge of system process analysis and/or program management, estimating it system development and testing.
for positions supporting medicare, requires 5+ years of experience working in medicare operations.
lead rebate business analyst (remote)
27
business analysis
a combination of education and work experience may be considered., bachelors
$77,785
$124,455",,WA,77584.0,67.0,89.0,10000+ ,Health Care Services & Hospitals,Healthcare,Business,$5 to $10 billion (USD),1045
62,McAfee,IT Vendor Management - ,,,"job title:
it vendor management - remote
role overview:
we are starting up a new technology services vendor management office. this role is reporting to the leader of business planning and execution. the successful candidate will help define our vendor management strategy and drive designing and deployment of the program. you will be responsible for aligning and maintaining technology services’ strategic goals with the department’s vendor portfolio. job responsibilities include analyzing and anticipating the department’s future needs and developing high-quality strategic relationships with new and existing vendors with access to emerging intellectual property and technological innovation. additionally, you will be responsible for developing, and carrying out, processes for effective contracting, financial control, vendor performance management, and compliance of third parties operating domestically and internationally.

this is a remote position based in the united states. we will only consider candidates in the united states, and we are not offering relocation assistance at this time.

for colorado residents the starting salary for this position is $106,000.00. mcafee takes into consideration an individual’s skillset and experience in making salary determinations. for further details, please discuss with the talent acquisition partner.",San Jose,CA,,,,1001 - 5000 ,Computer Hardware Development,Information Technology,Business,$10+ billion (USD),1045
